# S5-a photos_cleanup 全链轮 2  @ 2026-09-25T01:20:16+08:00  serial=emulator-5554
09-24 17:21:41.526  4190  4190 I AnytouchRun: S1SMOKE ok=9 total=9 stopped=false stop=-
# 磁盘终判 .trashed 残留=0 种子残留=0
--------- beginning of main
09-24 17:20:22.631  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:20:22.657  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:20:28.843  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:20:29.862  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:20:34.637  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:20:35.684  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:20:37.388  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.ImageView/Delete/Delete src=android.widget.ImageView/null/Delete id=com.google.android.apps.photos:id/trash
09-24 17:20:39.543  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:20:40.655  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:20:42.026  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:20:43.131  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:20:47.755  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:20:48.875  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:20:50.410  4190  4190 I AnytouchRun: S2SMOKE event-meta viewScrolled evt=android.support.v7.widget.RecyclerView/null/null src=android.widget.GridView/null/null id=com.google.android.apps.photos:id/recycler_view
09-24 17:20:50.418  4190  4190 W AnytouchRun: S2SMOKE capture note: viewScrolled 无位移证据 pkg=com.google.android.apps.photos id=com.google.android.apps.photos:id/recycler_view delta=0x0 pos=0x0 max=0x0（布局重排，不成步）
09-24 17:20:52.411  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:20:53.458  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:20:58.033  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:20:59.095  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:21:01.184  4190  4190 I AnytouchRun: S2SMOKE event-meta viewClicked evt=android.widget.ImageView/Delete/Delete src=android.widget.ImageView/null/Delete id=com.google.android.apps.photos:id/trash
09-24 17:21:01.440  4190  4190 I AnytouchRun: S2SMOKE path by unique content(严档/句柄子树): [0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 0] 窗口节点=18 cls=android.widget.ImageView texts=[]
09-24 17:21:02.942  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:21:04.013  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:21:05.407  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
09-24 17:21:06.559  4190  4190 W AnytouchRun: S2SMOKE record rebound: 服务重连后续采（掉线窗口内的事件已漏，见服务生命周期日志）
09-24 17:21:11.230  4190  4190 W AnytouchRun: S2SMOKE record abandoned by service lifecycle, 已录事件保留可编译（不静默蒸发）
